strategy,symbols,start,end,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,total_return
always_long,5,2020-01-02,2023-12-29,0.24918279045055744,0.3471077578666374,0.7178830919310545,0.9527054613672284,-0.518545780450574,1.704057764620849
long_flat,5,2020-01-02,2023-12-29,0.3158358226742383,0.23953168610057965,1.3185555022629385,1.846386063915948,-0.22652932416880367,2.5283722908115607
sized_aggressive,5,2020-01-02,2023-12-29,0.24190585758825064,0.2050320685699346,1.179844008186157,1.653766392246269,-0.1971106500610441,1.6266349561428735
sized_balanced,5,2020-01-02,2023-12-29,0.18426736256048687,0.17084631317779403,1.0785562716166195,1.4811876243573172,-0.16241919362678392,1.0867482870039837
sized_linear,5,2020-01-02,2023-12-29,0.12890114265716177,0.10427113003983395,1.236211237069346,1.7182580036191024,-0.10138162940544937,0.6729383070578925
sized_near_full,5,2020-01-02,2023-12-29,0.28762059460180395,0.22842939962159006,1.2591224907050862,1.770207289088566,-0.2174076628549867,2.1525122519581865
volatility_adjusted_50,5,2020-01-02,2023-12-29,0.14683969651594433,0.16018793056376254,0.9166714121292368,1.2356020147561482,-0.2606310349076383,0.7971343915955724
volatility_adjusted_75,5,2020-01-02,2023-12-29,0.23360851759219262,0.23142689560814173,1.0094268299210343,1.3773569672533275,-0.33323852025762446,1.5410567416128647
volatility_adjusted_diversified_50,5,2020-01-02,2023-12-29,0.144244695876228,0.11249353363037919,1.2822487766290092,1.7994338800439589,-0.11099396416513152,0.7786132441236655
volatility_adjusted_diversified_75,5,2020-01-02,2023-12-29,0.21636704381434196,0.16874030044556879,1.2822487766290087,1.7994338800439584,-0.16178184233559412,1.3720414993604004
volatility_adjusted_diversified_full,5,2020-01-02,2023-12-29,0.288489391752456,0.22498706726075837,1.2822487766290092,1.7994338800439589,-0.2096682682491725,2.1634650721721096
volatility_adjusted_full,5,2020-01-02,2023-12-29,0.3114780234562569,0.308569194144189,1.0094268299210345,1.377356967253328,-0.4175025850905395,2.4675214042950304
