config_id,strategy,symbols,avg_exposure,start,end,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,total_return
random_forest|all_features|0.60,model,5,0.24500487191081338,2020-01-02,2023-12-29,0.1745977960296607,0.12514049519697018,1.395214201085309,2.0005690579355377,-0.09222632688110644,1.0077315192248002
logistic_regression|zscore_features|0.65,model,5,0.007126400602496219,2020-01-02,2023-12-29,0.026945308633078095,0.02541197882135226,1.0603388591854745,0.4227152056931427,-0.020814885753859036,0.11356589349161594
logistic_regression|returns_only|0.50,model,5,0.8161914920654917,2020-01-02,2023-12-29,0.2898683737588126,0.279386475324722,1.0375175585071104,1.4728552016991252,-0.4070328064272727,2.180927918145896
xgboost|all_features|0.60,model,5,0.3355799001122056,2020-01-02,2023-12-29,0.1643470066673127,0.15999872888958977,1.0271769520164347,1.2903118068047341,-0.18851836263424704,0.9272298969393997
logistic_regression|all_features|0.65,model,5,0.04918728686483753,2020-01-02,2023-12-29,0.06899807220933825,0.06944432466746886,0.9935739535193485,0.8244710954554819,-0.05921703040162252,0.3171162466166795
logistic_regression|no_volume_features|0.50,model,5,0.7846969514001213,2020-01-02,2023-12-29,0.2676390847613354,0.27631248674832604,0.968610169996079,1.3227759291735095,-0.4204831595950811,1.9108124053734814
random_forest|no_volume_features|0.65,model,5,0.12657134188636007,2020-01-02,2023-12-29,0.09051460261341746,0.09388564114141694,0.9640942055993227,1.176191515740462,-0.09158239289533043,0.43525142165321973
logistic_regression|returns_plus_volatility|0.50,model,5,0.8080333771257902,2020-01-02,2023-12-29,0.26551122683178163,0.276463870415299,0.9603830924921056,1.3372595828885552,-0.42009007173999524,1.8861911028643905
random_forest|returns_plus_volatility|0.60,model,5,0.27743858717835856,2020-01-02,2023-12-29,0.13611063601144438,0.14333666154200134,0.9495870389834666,1.213905721642043,-0.12969674513065466,0.7217863042737749
logistic_regression|all_features|0.45,model,5,0.9057244079707271,2020-01-02,2023-12-29,0.28908609308811645,0.3063632882904831,0.9436055302227171,1.3205738180006774,-0.41590131571978395,2.171009648492893
random_forest|no_volume_features|0.60,model,5,0.2649216163515834,2020-01-02,2023-12-29,0.13044537086314437,0.1399303057873609,0.9322167212395726,1.1828363726029947,-0.17315477356406928,0.6832832517340266
logistic_regression|all_features|0.50,model,5,0.7479694535116327,2020-01-02,2023-12-29,0.2466025772517071,0.26504771234971003,0.9304082463701252,1.2759468251327688,-0.39008023717593054,1.6763479117912472
xgboost|all_features|0.65,model,5,0.22543637508439168,2020-01-02,2023-12-29,0.11479387858766782,0.1256080280406853,0.9139055869142798,1.0532186570774735,-0.13062288437293312,0.5813271326131353
logistic_regression|no_volume_features|0.70,model,5,0.011691561128595599,2020-01-02,2023-12-29,0.04580641856402575,0.050628596477957276,0.9047538693664754,0.6826836404672332,-0.02380522431781229,0.20064886471325094
random_forest|returns_plus_volatility|0.50,model,5,0.6431087434939331,2020-01-02,2023-12-29,0.22056343008431123,0.24757032823610847,0.8909122173718625,1.169899469625254,-0.3400219605742786,1.4121132172552397
